"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25"
"1","school","new","work","go","00","mask","test","case","peopl","state","go","one","will","presid","china","will","know","will","peopl","thank","can","travel","nhs","vaccin","test"
"2","will","see","australian","countri","canadian","can","need","00","go","need","peopl","data","busi","test","said","new","peopl","take","will","peopl","think","state","care","work","state"
"3","work","ventil","state","day","canada","suppli","now","just","countri","make","presid","think","support","american","countri","countri","01","us","home","support","get","case","thank","know","go"
"4","go","york","get","state","need","state","can","new","make","can","think","differ","also","thank","make","compani","border","day","want","can","go","spread","hospit","00","want"
"5","children","state","go","see","help","work","one","level","get","call","want","just","make","coronavirus","deal","hospit","virus","countri","live","scheme","thing","china","import","year","governor"
"6","student","hospit","minist","everi","french","go","question","health","virus","governor","lot","see","announc","go","billion","york","countri","come","go","countri","will","health","peopl","trial","phase"
"7","come","just","can","american","work","get","work","peopl","question","crosstalk","say","distanc","job","peopl","use","nation","make","health","social","busi","want","unit","make","make","open"
"8","keep","governor","import","new","peopl","day","number","zealand","back","01","like","like","govern","just","ventil","thing","back","now","need","protect","right","american","home","thank","capac"
"9","learn","said","territori","worker","continu","healthcar","day","minist","day","ventil","know","protect","provid","state","us","american","lot","time","protect","say","need","virus","death","develop","will"
"10","back","know","australia","coronavirus","foreign","use","week","care","number","one","now","case","ensur","work","great","medic","drug","keep","can","today","look","public","secretari","mr","abl"
"11","can","question","place","million","languag","now","first","three","deal","suppli","great","back","small","dr","good","need","deal","also","stay","job","said","communiti","cours","think","million"
"12","parent","peopl","issu","case","go","thank","across","also","realli","said","look","care","take","mr","open","state","ship","put","rule","data","well","dr","come","alreadi","realli"
"13","educ","mitig","cabinet","continu","get","also","countri","around","guidelin","work","get","public","next","health","help","incred","everi","continu","now","govern","realli","like","coronavirus","compani","lab"
"14","continu","also","nation","area","can","face","two","look","mean","ask","thank","new","well","vice","governor","fema","today","medic","measur","make","peopl","risk","much","start","dr"
"15","health","01","mean","health","minist","need","capac","facil","new","thing","just","know","billion","make","year","thank","forc","discuss","advic","live","just","low","absolut","fda","done"
"16","distanc","jersey","arrang","back","make","stay","use","number","talk","presid","mani","follow","help","let","call","help","secretari","plan","say","get","now","cdc","measur","also","slide"
"17","think","week","measur","know","keep","equip","see","crosstalk","bill","busi","talk","clear","today","lab","million","suppli","get","part","know","whether","see","infect","take","treatment","reopen"
"18","kid","care","thing","peopl","measur","new","avail","one","never","order","well","report","time","industri","number","week","come","abl","alreadi","economi","work","addit","also","clinic","laboratori"
"19","center","take","togeth","today","support","yesterday","lot","covid-19","busi","let","mr","understand","week","know","differ","day","continu","today","spread","put","number","prepar","slide","phase","thing"
"20","abl","dr","need","work","home","medic","system","well","now","want","one","chang","peopl","want","tell","today","call","seen","two","think","say","diseas","virus","meet","back"
