"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"X1",0.00468201326570425,0.0579399141630901,0.00214592274678112,0.0257510729613734,0.00390167772142021,0.0251658213031604,0.0308232539992197,0.00448692937963324,0.0544284042138119,0.0407725321888412,0.241123683183769,0.0317986734295747,0.0132657042528287,0.0238002341006633,0.0569644947327351,0.0263363246195864,0.0425282871634803,0.0212641435817401,0.00234100663285213,0.00195083886071011,0.0955911041747952,0.00409676160749122,0.00448692937963324,0.0864221615294577,0.0979321108076473
"X2",0.00313479623824451,0.00626959247648903,0.00689655172413793,0.0401253918495298,0.463949843260188,0.0106583072100313,0.0426332288401254,0.013166144200627,0.00877742946708464,0.00877742946708464,0.00501567398119122,0.0225705329153605,0.0557993730407524,0.00376175548589342,0.00626959247648903,0.00313479623824451,0.0294670846394984,0.0658307210031348,0.00877742946708464,0.00376175548589342,0.0614420062695925,0.00689655172413793,0.0112852664576802,0.104075235109718,0.00752351097178683
"X3",0.00648252536640361,0.0126832018038331,0.00958286358511838,0.00310033821871477,0.00140924464487035,0.0287485907553551,0.237880496054115,0.016065388951522,0.00140924464487035,0.00197294250281849,0.00056369785794814,0.0744081172491545,0.00704622322435175,0.0028184892897407,0.0028184892897407,0.00535512965050733,0.00056369785794814,0.0138105975197294,0.0997745208568207,0.00450958286358512,0.16967305524239,0.00479143179255919,0.268883878241263,0.0084554678692221,0.0171927846674183
"X4",0.00387804225728804,0.051216902915218,0.000802353570473389,0.0274137469911741,0.00227333511634127,0.0653918159935812,0.0187215833110457,0.0110992243915485,0.0205937416421503,0.0168494249799412,0.280556298475528,0.0386466969778015,0.0100294196309174,0.0324953196041722,0.0161807970045467,0.00615137737362931,0.047205135062851,0.0145760898635999,0.0149772666488366,0.00147098154586788,0.0780957475260765,0.0311580636533833,0.00240706071142017,0.0299545332976732,0.177855041454934
"X5",0.0632946379215036,0.00442233278054174,0.0154781647318961,0.0146489773355445,0.0229408512990603,0.00304035378662244,0.0613598673300166,0.472636815920398,0.019624101713654,0.00580431177446103,0.00165837479270315,0.0422885572139304,0.0478164731896075,0.00912106135986733,0.00138197899391929,0.00276395798783858,0.00608070757324489,0.0323383084577114,0.00773908236594804,0.00635710337202874,0.0981205085682698,0.00138197899391929,0.00386954118297402,0.0511332227750138,0.00469872857932559
"X6",0.00195982361587457,0.00416462518373346,0.00710436060754532,0.00416462518373346,0.0112689857912788,0.0171484566389025,0.0612444879960804,0.0436060754532092,0.00416462518373346,0.0139637432631063,0.00710436060754532,0.0440960313571779,0.0235178833904949,0.00465458108770211,0.00636942675159236,0.00220480156785889,0.0374816266536012,0.0423811856932876,0.0259676629103381,0.0587947084762371,0.261391474767271,0.00220480156785889,0.26188143067124,0.0203331700146987,0.0328270455658991
"X7",0.0888888888888889,0.00341880341880342,0.0176638176638177,0.00341880341880342,0.445584045584046,0.011965811965812,0.00968660968660969,0.0210826210826211,0.00626780626780627,0.00341880341880342,0.0188034188034188,0.0153846153846154,0.150997150997151,0.00398860398860399,0.00398860398860399,0.00284900284900285,0.0102564102564103,0.0284900284900285,0.00398860398860399,0.0387464387464387,0.0780626780626781,0.00341880341880342,0.00341880341880342,0.00911680911680912,0.0170940170940171
"X8",0.00764036958066809,0.0163468372423596,0.00408670931058991,0.0572139303482587,0.00675195451314854,0.00373134328358209,0.0262970859985785,0.0126154939587775,0.050817341862118,0.0897299218194741,0.242537313432836,0.0893745557924662,0.0581023454157783,0.00906183368869936,0.0252309879175551,0.0133262260127932,0.0213219616204691,0.0207889125799574,0.00426439232409382,0.00266524520255864,0.0966595593461265,0.00426439232409382,0.00106609808102345,0.0353589196872779,0.100746268656716
"X9",0.306086183918259,0.00244335850733008,0.00333185250999556,0.00466459351399378,0.00310972900932919,0.0171035095513105,0.0493114171479343,0.346290537538872,0.00155486450466459,0.00199911150599733,0.00621945801865837,0.0228787205686362,0.00355397601066193,0.00333185250999556,0.000666370501999112,0.00199911150599733,0.00399822301199467,0.00821856952465571,0.0573078631719236,0.0159928920479787,0.118391825855175,0.00466459351399378,0.00422034651266104,0.00799644602398934,0.00466459351399378
"X10",0.00896,0.00384,0.0064,0.00192,0.00576,0.06976,0.14976,0.00224,0.00704,0.00768,0.0096,0.07072,0.00416,0.00256,0.00768,0.00544,0.02176,0.06976,0.00928,0.02848,0.13952,0.0288,0.29504,0.03008,0.01376
"X11",0.0141122415490647,0.00164095831965868,0.333114538890712,0.0127994748933377,0.0147686248769281,0.00951755825402035,0.0370856580242862,0.160813915326551,0.00295372497538563,0.00295372497538563,0.0154250082047916,0.0567771578601904,0.0367574663603545,0.00131276665572694,0.0196914998359042,0.00459468329504431,0.00196914998359042,0.0968165408598622,0.0397111913357401,0.011158516573679,0.0853298326222514,0.0141122415490647,0.0157531998687233,0.00623564161470299,0.00459468329504431
"X12",0.0112028301886792,0.0035377358490566,0.00117924528301887,0.0283018867924528,0.492334905660377,0.0772405660377359,0.0200471698113208,0.00943396226415094,0.00707547169811321,0.00707547169811321,0.00766509433962264,0.03125,0.044811320754717,0.00530660377358491,0.0182783018867925,0.0265330188679245,0.017688679245283,0.0642688679245283,0.00530660377358491,0.0412735849056604,0.0554245283018868,0.00471698113207547,0.0123820754716981,0.00530660377358491,0.00235849056603774
