"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"X1",0.0781655034895314,0.0981056829511466,0.173878364905284,0.0871385842472582,0.00717846460618146,0.0111665004985045,0.0897308075772682,0.0257228315054835,0.00997008973080758,0.0247258225324028,0.0129611166500499,0.00299102691924227,0.175473579262213,0.00498504486540379,0.00179461615154536,0.0348953140578265,0.0241276171485543,0.00817547357926221,0.00279162512462612,0.0167497507477567,0.0488534396809571,0.0209371884346959,0.0117647058823529,0.000997008973080758,0.0267198404785643
"X2",0.00539083557951483,0.0195417789757412,0.0134770889487871,0.00336927223719677,0.0161725067385445,0.0788409703504043,0.0107816711590297,0.0404312668463612,0.00808625336927224,0.022911051212938,0.0101078167115903,0.0101078167115903,0.0215633423180593,0.0222371967654987,0.466981132075472,0.0384097035040431,0.0168463611859838,0.00876010781671159,0.00269541778975741,0.0491913746630728,0.0795148247978437,0.0128032345013477,0.00134770889487871,0.0121293800539084,0.0283018867924528
"X3",0.0150696616434461,0.0108046630651123,0.00540233153255616,0.00113733295422235,0.147284617571794,0.0105203298265567,0.0022746659084447,0.00255899914700028,0.0108046630651123,0.00170599943133352,0.00341199886266705,0.207563264145579,0.0949673016775661,0.0170599943133352,0.00255899914700028,0.0796133067955644,0.0332669889110037,0.0127949957350014,0.00426499857833381,0.00767699744100085,0.0164913278362241,0.00142166619277794,0.0699459766846744,0.00938299687233438,0.232015922661359
"X4",0.037988672468573,0.197126674955104,0.18773311230833,0.0976654234010222,0.00704517198508081,0.00676889073076392,0.0263848597872634,0.0291476723304324,0.012985218952894,0.0233457659897776,0.00690703135792236,0.00372979693327808,0.164249205691394,0.00276281254316895,0.00179582815305981,0.0370216880784639,0.0430998756734356,0.0172675783948059,0.00745959386655615,0.0026246719160105,0.0201685315651333,0.0270755629230557,0.0198922503108164,0.00359165630611963,0.0161624533775383
"X5",0.00262697022767075,0.00291885580852306,0.00846468184471687,0.000875656742556918,0.010507880910683,0.0577933450087566,0.00554582603619381,0.00554582603619381,0.017221249270286,0.00116754232340922,0.0049620548744892,0.00233508464681845,0.0831873905429072,0.0332749562171629,0.0116754232340922,0.101868067717455,0.00204319906596614,0.00408639813193228,0.0131348511383538,0.0592527729130181,0.042031523642732,0.0224751897256276,0.0119673088149445,0.452714535901926,0.0423234092235844
"X6",0.00449775112443778,0.0282358820589705,0.00749625187406297,0.00374812593703148,0.213393303348326,0.0622188905547226,0.00524737631184408,0.00399800099950025,0.00424787606196902,0.0412293853073463,0.00524737631184408,0.204897551224388,0.165167416291854,0.00549725137431284,0.00174912543728136,0.06071964017991,0.0312343828085957,0.0072463768115942,0.00774612693653173,0.0189905047476262,0.019240379810095,0.00699650174912544,0.0109945027486257,0.0109945027486257,0.0689655172413793
"X7",0.00370599135268684,0.00247066090179123,0.00370599135268684,0.00123533045089561,0.0135886349598518,0.179740580605312,0.0123533045089561,0.0154416306361952,0.00988264360716492,0.0080296479308215,0.00494132180358246,0.00617665225447807,0.0697961704756022,0.0469425571340334,0.44780728844966,0.0197652872143298,0.00185299567634342,0.00679431747992588,0.00741198270537369,0.0111179740580605,0.0080296479308215,0.0407659048795553,0.0111179740580605,0.0617665225447807,0.00555898702903027
"X8",0.028948332722609,0.132466104800293,0.146573836570172,0.0536826676438256,0.00274825943569073,0.0294979846097472,0.019970685232686,0.028948332722609,0.138878710150238,0.00696225723708318,0.0115426896299011,0.00274825943569073,0.165078783437156,0.00897764748992305,0.00311469402711616,0.0782337852693294,0.0130084279956028,0.00311469402711616,0.00549651887138146,0.0119091242213265,0.0269329424697691,0.0619274459508978,0.0060461707585196,0.00219860754855258,0.0109930377427629
"X9",0.00276115968706857,0.0105844454670962,0.00161067648412333,0.00368154624942476,0.00483202945237,0.0161067648412333,0.000460193281178095,0.00414173953060285,0.00552231937413714,0.00644270593649333,0.00414173953060285,0.00414173953060285,0.092038656235619,0.0566037735849057,0.000460193281178095,0.0683387022549471,0.0135757017947538,0.00184077312471238,0.00161067648412333,0.0471698113207547,0.0138057984353428,0.0283018867924528,0.107225034514496,0.477220432581684,0.0273815002300966
"X10",0.00455877564311299,0.0130250732660371,0.00651253663301856,0.00423314881146206,0.102246825138391,0.00879192445457506,0.00423314881146206,0.00325626831650928,0.0058612829697167,0.0175838489091501,0.00716379029632042,0.319114295017909,0.104526212959948,0.00195376098990557,0.00162813415825464,0.0895473787040052,0.049820905242592,0.00716379029632042,0.00618690980136763,0.0608922175187235,0.0367958319765549,0.0107456854444806,0.00488440247476392,0.0100944317811788,0.11917942038424
"X11",0.00337381916329285,0.0114709851551957,0.0043859649122807,0.00101214574898785,0.0043859649122807,0.0732118758434548,0.00775978407557355,0.0195681511470985,0.00809716599190283,0.0043859649122807,0.00269905533063428,0.0242914979757085,0.0664642375168691,0.370445344129555,0.00236167341430499,0.141025641025641,0.0259784075573549,0.0219298245614035,0.0161943319838057,0.050944669365722,0.00134952766531714,0.00404858299595142,0.0242914979757085,0.0998650472334683,0.0104588394062078
"X12",0.00682805710738672,0.00558659217877095,0.0130353817504655,0.00496585971446307,0.016139044072005,0.0564866542520174,0.00931098696461825,0.026691495965239,0.0353817504655493,0.00310366232153942,0.0204841713221601,0.0285536933581626,0.0217256362507759,0.0124146492861577,0.463687150837989,0.0509000620732464,0.122284295468653,0.0111731843575419,0.0186219739292365,0.0397268777157045,0.00496585971446307,0.0124146492861577,0.0037243947858473,0.00620732464307883,0.00558659217877095
"X13",0.105584415584416,0.0958441558441558,0.112207792207792,0.054025974025974,0.00298701298701299,0.00805194805194805,0.143506493506493,0.0138961038961039,0.0381818181818182,0.0237662337662338,0.00987012987012987,0.00298701298701299,0.175194805194805,0.00337662337662338,0.00142857142857143,0.017012987012987,0.0375324675324675,0.00571428571428571,0.00480519480519481,0.0012987012987013,0.00727272727272727,0.011038961038961,0.00298701298701299,0.00428571428571429,0.117142857142857
"X14",0.00328947368421053,0.0125,0.00361842105263158,0.00164473684210526,0.0608552631578947,0.205921052631579,0.0131578947368421,0.00756578947368421,0.0411184210526316,0.00559210526315789,0.00361842105263158,0.267763157894737,0.164144736842105,0.00493421052631579,0.00625,0.0888157894736842,0.00493421052631579,0.00592105263157895,0.00263157894736842,0.0253289473684211,0.00657894736842105,0.0164473684210526,0.0213815789473684,0.0141447368421053,0.0118421052631579
"X15",0.0674376689696606,0.0606788825473115,0.21087413637729,0.0219285070591769,0.00781015319915891,0.00660859116851908,0.250525683388405,0.0189246019825774,0.00435566236106939,0.00390507659957945,0.00841093421447882,0.00315410033042956,0.203364373685792,0.00120156203063983,0.00660859116851908,0.0162210874136377,0.0485130669870832,0.00345449083808952,0.0193751877440673,0.00255331931510964,0.00600781015319916,0.00735956743766897,0.00315410033042956,0.00210273355361971,0.0154701111444878
"X16",0.0929054054054054,0.0346283783783784,0.129222972972973,0.00380067567567568,0.00232263513513514,0.00337837837837838,0.295608108108108,0.0525760135135135,0.00358952702702703,0.00443412162162162,0.00401182432432432,0.0109797297297297,0.225084459459459,0.00211148648648649,0.000633445945945946,0.0523648648648649,0.00929054054054054,0.00316722972972973,0.00443412162162162,0.00316722972972973,0.000422297297297297,0.0306165540540541,0.00211148648648649,0.00295608108108108,0.0261824324324324
"X17",0.039196675900277,0.180193905817175,0.115373961218837,0.0746537396121884,0.0054016620498615,0.00221606648199446,0.0800554016620499,0.0199445983379501,0.0353185595567867,0.000554016620498615,0.0202216066481994,0.000277008310249308,0.191828254847645,0.00373961218836565,0.00138504155124654,0.0350415512465374,0.0145429362880886,0.0119113573407202,0.00221606648199446,0.00831024930747922,0.0171745152354571,0.0164819944598338,0.00415512465373961,0.00249307479224377,0.117313019390582
"X18",0.00270562770562771,0.00865800865800866,0.00324675324675325,0.00378787878787879,0.0146103896103896,0.20995670995671,0.00649350649350649,0.0124458874458874,0.0416666666666667,0.00270562770562771,0.00703463203463203,0.00703463203463203,0.0638528138528139,0.00974025974025974,0.445887445887446,0.0281385281385281,0.00541125541125541,0.0189393939393939,0.0108225108225108,0.0303030303030303,0.00378787878787879,0.00757575757575758,0.00324675324675325,0.0227272727272727,0.0292207792207792
"X19",0.0448395825280247,0.245264785465791,0.0894858909934287,0.0875531503672207,0.0185543100115964,0.00773096250483185,0.0359489756474681,0.0274449168921531,0.0050251256281407,0.00405875531503672,0.0438732122149208,0.00115964437572478,0.139930421337457,0.00367220718979513,0.00154619250096637,0.0591418631619637,0.0191341321994588,0.0235794356397371,0.00831078469269424,0.0266718206416699,0.0181677618863549,0.0373018940858137,0.00985697719366061,0.00405875531503672,0.0376884422110553
"X20",0.00128576020572163,0.00289296046287367,0.00450016072002571,0.00289296046287367,0.349083895853423,0.0122147219543555,0.00546448087431694,0.00610736097717776,0.00128576020572163,0.00450016072002571,0.00257152041144327,0.12632594021215,0.169398907103825,0.00514304082288653,0.0038572806171649,0.182577949212472,0.00867888138862102,0.00578592092574735,0.000964320154291225,0.00900032144005143,0.014143362262938,0.00257152041144327,0.0218579234972678,0.0112504018000643,0.045644487303118
"X21",0.00611040876527602,0.0303413400758533,0.00147492625368732,0.0010535187526338,0.0067425200168563,0.0722713864306785,0.00168563000421408,0.0010535187526338,0.012220817530552,0.00252844500632111,0.00189633375474083,0.00421407501053519,0.100084281500211,0.40054782975137,0.00189633375474083,0.223556679308892,0.00611040876527602,0.010535187526338,0.00442477876106195,0.00463548251158871,0.0139064475347661,0.00547829751369574,0.00969237252423093,0.0444584913611462,0.0330804888327012
